Date,S&P 500,NASDAQ,Dow Jones
2001-07-01 00:00:00-04:00,1211.22998046875,2027.1300048828125,10522.8095703125
2001-08-01 00:00:00-04:00,1133.5799560546875,1805.4300537109375,9949.75
2001-09-01 00:00:00-04:00,1040.93994140625,1498.800048828125,8847.5595703125
2001-10-01 00:00:00-04:00,1059.780029296875,1690.199951171875,9075.1396484375
2001-11-01 00:00:00-05:00,1139.449951171875,1930.5799560546875,9851.5595703125
2001-12-01 00:00:00-05:00,1148.0799560546875,1950.4000244140625,10021.5703125
2002-01-01 00:00:00-05:00,1130.199951171875,1934.030029296875,9920.0
2002-02-01 00:00:00-05:00,1106.72998046875,1731.489990234375,10106.1298828125
2002-03-01 00:00:00-05:00,1147.3900146484375,1845.3499755859375,10403.9404296875
2002-04-01 00:00:00-05:00,1076.9200439453125,1688.22998046875,9946.2197265625
2002-05-01 00:00:00-04:00,1067.1400146484375,1615.72998046875,9925.25
2002-06-01 00:00:00-04:00,989.8200073242188,1463.2099609375,9243.259765625
2002-07-01 00:00:00-04:00,911.6199951171875,1328.260009765625,8736.58984375
2002-08-01 00:00:00-04:00,916.0700073242188,1314.8499755859375,8663.5
2002-09-01 00:00:00-04:00,815.280029296875,1172.06005859375,7591.93017578125
2002-10-01 00:00:00-04:00,885.760009765625,1329.75,8397.0302734375
2002-11-01 00:00:00-05:00,936.3099975585938,1478.780029296875,8896.08984375
2002-12-01 00:00:00-05:00,879.8200073242188,1335.510009765625,8341.6298828125
2003-01-01 00:00:00-05:00,855.7000122070312,1320.9100341796875,8053.81005859375
2003-02-01 00:00:00-05:00,841.1500244140625,1337.52001953125,7891.080078125
2003-03-01 00:00:00-05:00,848.1799926757812,1341.1700439453125,7992.1298828125
2003-04-01 00:00:00-05:00,916.9199829101562,1464.31005859375,8480.08984375
2003-05-01 00:00:00-04:00,963.5900268554688,1595.9100341796875,8850.259765625
2003-06-01 00:00:00-04:00,974.5,1622.800048828125,8985.4404296875
2003-07-01 00:00:00-04:00,990.3099975585938,1735.02001953125,9233.7998046875
2003-08-01 00:00:00-04:00,1008.010009765625,1810.449951171875,9415.8203125
2003-09-01 00:00:00-04:00,995.969970703125,1786.93994140625,9275.0595703125
2003-10-01 00:00:00-04:00,1050.7099609375,1932.2099609375,9801.1201171875
2003-11-01 00:00:00-05:00,1058.199951171875,1960.260009765625,9782.4599609375
2003-12-01 00:00:00-05:00,1111.9200439453125,2003.3699951171875,10453.919921875
2004-01-01 00:00:00-05:00,1131.1300048828125,2066.14990234375,10488.0703125
2004-02-01 00:00:00-05:00,1144.93994140625,2029.8199462890625,10583.919921875
2004-03-01 00:00:00-05:00,1126.2099609375,1994.219970703125,10357.7001953125
2004-04-01 00:00:00-05:00,1107.300048828125,1920.1500244140625,10225.5703125
2004-05-01 00:00:00-04:00,1120.6800537109375,1986.739990234375,10188.4501953125
2004-06-01 00:00:00-04:00,1140.8399658203125,2047.7900390625,10435.48046875
2004-07-01 00:00:00-04:00,1101.719970703125,1887.3599853515625,10139.7099609375
2004-08-01 00:00:00-04:00,1104.239990234375,1838.0999755859375,10173.919921875
2004-09-01 00:00:00-04:00,1114.5799560546875,1896.8399658203125,10080.26953125
2004-10-01 00:00:00-04:00,1130.199951171875,1974.989990234375,10027.4697265625
2004-11-01 00:00:00-05:00,1173.8199462890625,2096.81005859375,10428.01953125
2004-12-01 00:00:00-05:00,1211.9200439453125,2175.43994140625,10783.009765625
2005-01-01 00:00:00-05:00,1181.27001953125,2062.409912109375,10489.9404296875
2005-02-01 00:00:00-05:00,1203.5999755859375,2051.719970703125,10766.23046875
2005-03-01 00:00:00-05:00,1180.5899658203125,1999.22998046875,10503.759765625
2005-04-01 00:00:00-05:00,1156.8499755859375,1921.6500244140625,10192.509765625
2005-05-01 00:00:00-04:00,1191.5,2068.219970703125,10467.48046875
2005-06-01 00:00:00-04:00,1191.3299560546875,2056.9599609375,10274.9697265625
2005-07-01 00:00:00-04:00,1234.1800537109375,2184.830078125,10640.91015625
2005-08-01 00:00:00-04:00,1220.3299560546875,2152.090087890625,10481.599609375
2005-09-01 00:00:00-04:00,1228.81005859375,2151.68994140625,10568.7001953125
2005-10-01 00:00:00-04:00,1207.010009765625,2120.300048828125,10440.0703125
2005-11-01 00:00:00-05:00,1249.47998046875,2232.820068359375,10805.8701171875
2005-12-01 00:00:00-05:00,1248.2900390625,2205.320068359375,10717.5
2006-01-01 00:00:00-05:00,1280.0799560546875,2305.820068359375,10864.8603515625
2006-02-01 00:00:00-05:00,1280.6600341796875,2281.389892578125,10993.41015625
2006-03-01 00:00:00-05:00,1294.8699951171875,2339.7900390625,11109.3203125
2006-04-01 00:00:00-05:00,1310.6099853515625,2322.570068359375,11367.1396484375
2006-05-01 00:00:00-04:00,1270.0899658203125,2178.8798828125,11168.3095703125
2006-06-01 00:00:00-04:00,1270.199951171875,2172.090087890625,11150.2197265625
2006-07-01 00:00:00-04:00,1276.6600341796875,2091.469970703125,11185.6796875
2006-08-01 00:00:00-04:00,1303.8199462890625,2183.75,11381.150390625
2006-09-01 00:00:00-04:00,1335.8499755859375,2258.429931640625,11679.0703125
2006-10-01 00:00:00-04:00,1377.93994140625,2366.7099609375,12080.73046875
2006-11-01 00:00:00-05:00,1400.6300048828125,2431.77001953125,12221.9296875
2006-12-01 00:00:00-05:00,1418.300048828125,2415.2900390625,12463.150390625
2007-01-01 00:00:00-05:00,1438.239990234375,2463.929931640625,12621.6904296875
2007-02-01 00:00:00-05:00,1406.8199462890625,2416.14990234375,12268.6298828125
2007-03-01 00:00:00-05:00,1420.8599853515625,2421.639892578125,12354.349609375
2007-04-01 00:00:00-04:00,1482.3699951171875,2525.090087890625,13062.91015625
2007-05-01 00:00:00-04:00,1530.6199951171875,2604.52001953125,13627.6396484375
2007-06-01 00:00:00-04:00,1503.3499755859375,2603.22998046875,13408.6201171875
2007-07-01 00:00:00-04:00,1455.27001953125,2546.27001953125,13211.990234375
2007-08-01 00:00:00-04:00,1473.989990234375,2596.360107421875,13357.740234375
2007-09-01 00:00:00-04:00,1526.75,2701.5,13895.6298828125
2007-10-01 00:00:00-04:00,1549.3800048828125,2859.1201171875,13930.009765625
2007-11-01 00:00:00-04:00,1481.1400146484375,2660.9599609375,13371.7197265625
2007-12-01 00:00:00-05:00,1468.3599853515625,2652.280029296875,13264.8203125
2008-01-01 00:00:00-05:00,1378.550048828125,2389.860107421875,12650.3603515625
2008-02-01 00:00:00-05:00,1330.6300048828125,2271.47998046875,12266.3896484375
2008-03-01 00:00:00-05:00,1322.699951171875,2279.10009765625,12262.8896484375
2008-04-01 00:00:00-04:00,1385.5899658203125,2412.800048828125,12820.1298828125
2008-05-01 00:00:00-04:00,1400.3800048828125,2522.659912109375,12638.3203125
2008-06-01 00:00:00-04:00,1280.0,2292.97998046875,11350.009765625
2008-07-01 00:00:00-04:00,1267.3800048828125,2325.550048828125,11378.01953125
2008-08-01 00:00:00-04:00,1282.8299560546875,2367.52001953125,11543.9599609375
2008-09-01 00:00:00-04:00,1166.3599853515625,2091.8798828125,10850.66015625
2008-10-01 00:00:00-04:00,968.75,1720.949951171875,9325.009765625
2008-11-01 00:00:00-04:00,896.239990234375,1535.5699462890625,8829.0400390625
2008-12-01 00:00:00-05:00,903.25,1577.030029296875,8776.3896484375
2009-01-01 00:00:00-05:00,825.8800048828125,1476.4200439453125,8000.85986328125
2009-02-01 00:00:00-05:00,735.0900268554688,1377.8399658203125,7062.93017578125
2009-03-01 00:00:00-05:00,797.8699951171875,1528.5899658203125,7608.919921875
2009-04-01 00:00:00-04:00,872.8099975585938,1717.300048828125,8168.1201171875
2009-05-01 00:00:00-04:00,919.1400146484375,1774.3299560546875,8500.330078125
2009-06-01 00:00:00-04:00,919.3200073242188,1835.0400390625,8447.0
2009-07-01 00:00:00-04:00,987.47998046875,1978.5,9171.6103515625
2009-08-01 00:00:00-04:00,1020.6199951171875,2009.06005859375,9496.2802734375
2009-09-01 00:00:00-04:00,1057.0799560546875,2122.419921875,9712.2802734375
