,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
1999-06,174.88247487789098,297.892,1240.75,413.808,1294.595,1410.986,764.187454001926,963.803372635709,335.7346136004045,350.39546723391226
1999-07,174.58325056916283,296.311,1235.701,401.94,1304.857,1365.913,739.698232246867,946.7132668348729,326.0749319044366,346.38255988770044
1999-08,174.81320763365778,295.599,1232.161,405.296,1316.368,1355.313,735.0720916815095,982.9027548162912,331.4037529533231,346.55558212983635
1999-09,173.6427949333048,292.055,1218.897,391.069,1304.446,1316.595,714.0844658854837,985.3461757545243,316.3371897595868,340.2946393887721
1999-10,181.93118095558236,306.497,1280.942,399.053,1350.686,1401.406,758.7429809402329,1064.38098375002,328.3612483366019,354.50417127723085
1999-11,189.7316403603934,315.679,1315.675,434.698,1385.408,1431.055,773.2060326368016,1197.0433318930468,332.8888739130243,370.73260408538783
1999-12,205.59383928980702,341.626,1420.885,489.42,1525.772,1533.645,817.9312810009181,1460.1040116104762,351.84136514934175,405.4858640249016
2000-01,196.02375459022824,322.834,1338.246,491.393,1415.479,1453.709,776.2956761300661,1413.8320506169105,334.80828830425406,389.46804876250496
2000-02,201.47447552981802,323.592,1340.583,497.741,1487.641,1422.989,760.6858580428928,1685.2133963730623,309.95225148135916,391.45353119826996
2000-03,209.24055597149854,344.498,1431.938,499.404,1521.865,1562.944,834.259263663849,1640.7713949894235,334.2387638117796,410.51901542451617
2000-04,196.23945075149865,328.684,1370.108,451.359,1453.024,1510.695,808.5676191226949,1385.238515612801,328.4851827475948,386.26273031213816
2000-05,189.03412939732402,319.776,1334.136,431.703,1439.486,1469.905,790.847818833336,1220.2761977574016,322.01028966418545,374.11749048795906
2000-06,197.4083354979347,330.209,1377.722,445.518,1468.66,1510.705,809.7756143439918,1423.0749672431537,319.73222157960487,386.26479852080945
2000-07,190.78923912988117,320.16,1337.647,422.082,1443.551,1485.912,796.5428476095273,1351.6289290421992,321.9995907205791,372.3041495128479
