,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
1998-11,596.103,261.527,"1,097.621",304.528,"1,282.573","1,191.049",647.7926700731008,699.5120034707037,278.9898075378092
1998-12,623.736,273.301,"1,149.952",298.973,"1,336.970","1,258.043",684.3121678200022,786.7563133716043,280.9752983656691
1999-01,634.767,278.551,"1,173.844",293.914,"1,326.700","1,312.754",712.375427191717,899.135192974672,286.4042053423143
1999-02,616.331,271.211,"1,141.327",296.565,"1,291.350","1,273.341",689.378123027137,820.9651701045569,284.8052213235624
1999-03,643.350,283.043,"1,187.545",334.745,"1,303.738","1,324.885",716.1220064300466,883.1717956708621,299.4816018141583
1999-04,675.301,294.915,"1,233.057",375.665,"1,340.883","1,374.477",743.29455960433,912.4004291513705,330.17229856717086
1999-05,654.026,284.107,"1,186.701",372.330,"1,274.783","1,340.875",724.7341370778286,886.4441734204279,323.1551364006976
1999-06,686.732,297.892,"1,240.750",413.808,"1,294.595","1,410.986",764.187454001926,963.803372635709,335.7346136004045
1999-07,685.557,296.311,"1,235.701",401.940,"1,304.857","1,365.913",739.698232246867,946.7132668348729,326.0749319044366
1999-08,686.460,295.599,"1,232.161",405.296,"1,316.368","1,355.313",735.0720916815095,982.9027548162912,331.4037529533231
1999-09,681.864,292.055,"1,218.897",391.069,"1,304.446","1,316.595",714.0844658854837,985.3461757545243,316.3371897595868
1999-10,714.411,306.497,"1,280.942",399.053,"1,350.686","1,401.406",758.7429809402329,1064.38098375002,328.3612483366019
1999-11,745.042,315.679,"1,315.675",434.698,"1,385.408","1,431.055",773.2060326368016,1197.0433318930468,332.8888739130243
1999-12,807.330,341.626,"1,420.885",489.420,"1,525.772","1,533.645",817.9312810009181,1460.1040116104762,351.84136514934175
2000-01,769.750,322.834,"1,338.246",491.393,"1,415.479","1,453.709",776.2956761300661,1413.8320506169105,334.80828830425406
2000-02,791.154,323.592,"1,340.583",497.741,"1,487.641","1,422.989",760.6858580428928,1685.2133963730623,309.95225148135916
2000-03,821.650,344.498,"1,431.938",499.404,"1,521.865","1,562.944",834.259263663849,1640.7713949894235,334.2387638117796
2000-04,770.597,328.684,"1,370.108",451.359,"1,453.024","1,510.695",808.5676191226949,1385.238515612801,328.4851827475948
2000-05,742.303,319.776,"1,334.136",431.703,"1,439.486","1,469.905",790.847818833336,1220.2761977574016,322.01028966418545
2000-06,775.187,330.209,"1,377.722",445.518,"1,468.660","1,510.705",809.7756143439918,1423.0749672431537,319.73222157960487
2000-07,749.195,320.16,"1,337.647",422.082,"1,443.551","1,485.912",796.5428476095273,1351.6289290421992,321.9995907205791
2000-08,783.118,329.761,"1,379.870",423.560,"1,424.921","1,564.555",844.8922855071153,1509.2751752488546,343.2108142411606
2000-09,741.362,311.309,"1,305.245",386.031,"1,356.578","1,474.359",799.7049327604145,1317.8399381019885,325.94546870973653
2000-10,716.892,304.895,"1,282.138",357.847,"1,344.717","1,456.643",795.7468048539988,1209.0526498826928,335.7450136908374
2000-11,663.621,285.682,"1,203.054",326.356,"1,291.062","1,339.522",732.0324641920071,932.159963348248,318.7101138413922
2000-12,677.274,290.113,"1,221.253",333.793,"1,378.396","1,337.555",734.9997179804136,886.4441734204279,330.14017185103455
2001-01,696.360,297.271,"1,244.222",379.022,"1,378.655","1,385.971",760.4575920692015,994.8797484834835,333.18115231657157
2001-02,635.863,271.968,"1,137.879",349.024,"1,256.110","1,256.118",690.2744016597702,772.0954373430458,321.1824962592922
2001-03,589.365,253.117,"1,061.262",313.138,"1,159.783","1,173.433",645.9555333262206,660.301373937004,302.3160149662681
2001-04,632.997,271.089,"1,138.087",327.709,"1,239.079","1,263.437",695.5741952757982,759.3254027783587,328.5176083169045
2001-05,627.095,267.374,"1,121.088",330.545,"1,174.032","1,269.768",699.1147982812436,757.2622525278562,333.93336575392175
2001-06,609.286,258.844,"1,084.788",322.888,"1,127.558","1,239.054",681.6121870516993,775.2206474456668,321.4003901079899
2001-07,594.342,254.542,"1,069.669",301.666,"1,129.704","1,226.512",674.2915701967138,727.3519612826449,322.02496335499745
2001-08,568.501,242.414,"1,016.732",298.169,"1,097.859","1,143.844",631.063811858278,647.8040813180089,304.48787063303604
2001-09,511.776,219.961,926.023,251.395,987.578,"1,054.494",579.491127935637,537.7825558596485,270.75801641884397
2001-10,526.262,224.482,943.200,266.861,"1,018.718","1,068.251",589.9794023767115,606.4585135060261,277.7225505414883
2001-11,557.332,238.0,997.928,294.426,"1,058.837","1,149.410",634.3316373649449,692.7089599912049,301.482991630841
2001-12,564.408,240.033,"1,003.516",317.400,"1,085.759","1,155.707",639.1359599437048,699.8205737304437,306.6857564112037
2002-01,549.157,233.258,972.418,327.746,"1,028.450","1,138.518",629.1821635863106,693.9468764214434,303.5774443257084
2002-02,544.234,231.208,962.732,332.765,"1,026.687","1,114.903",616.1164339948448,621.2737403642968,309.27349615402113
2002-03,570.810,241.171,"1,003.597",351.427,"1,079.624","1,155.406",638.751869653945,662.1276981556521,318.38726275821006
2002-04,557.683,233.131,968.250,352.838,"1,068.379","1,082.002",599.5212462683372,605.7516708017417,304.37983521086596
2002-05,557.614,232.824,967.847,346.280,"1,060.500","1,073.515",594.0767052501175,579.7380372084488,303.7381077917074
2002-06,523.012,218.252,907.810,319.752,"1,021.604",991.139,551.0326673820224,525.0125212949614,282.8674573474883
2002-07,478.187,199.729,830.549,294.623,906.931,917.276,507.49873091186106,476.5912994574726,267.3620581539884
2002-08,478.979,199.846,830.582,298.886,903.910,920.472,509.9760521199379,471.77966200059086,265.12532146328374
2002-09,428.683,177.625,738.179,266.106,784.351,816.453,453.86628466037706,420.5453919116048,232.3325363168244
2002-10,456.336,190.489,791.883,283.161,859.515,887.417,493.1024804811866,477.1259209749156,256.970664348363
2002-11,480.422,200.604,833.471,302.358,900.778,939.155,521.2436520109355,530.5991978925243,272.24316726386246
2002-12,458.486,190.797,792.215,292.090,867.447,882.744,489.7956819063708,479.1926628168019,255.27527029588478
2003-01,445.009,185.033,767.478,290.438,825.795,862.090,476.36808380942546,473.9540639842005,246.4672454307031
2003-02,436.509,181.416,752.864,281.288,796.995,849.074,468.2681075262533,479.9138718866214,241.48729063373983
2003-03,434.369,180.201,748.628,272.267,781.794,854.986,472.18168992931845,481.2235325447454,244.579673845095
2003-04,471.183,195.753,813.302,295.166,882.786,924.588,510.44923341639884,525.4072459480169,259.51250024375213
2003-05,499.746,206.535,857.649,315.436,935.729,973.714,536.4304407184636,572.626467269105,270.8406493212783
2003-06,508.900,210.079,871.066,332.684,942.252,984.937,542.5040213274764,582.2748395226599,274.9775243735309
2003-07,520.359,214.455,887.780,352.624,960.008,"1,001.247",551.3054448808009,622.5403457257106,282.5779582784533
2003-08,533.394,219.098,905.324,375.518,955.208,"1,019.798",561.1590393393539,649.6052643969707,288.1482526914156
2003-09,536.447,220.151,909.641,377.634,973.867,"1,007.908",554.4563511830212,641.1696674339678,283.84061293590446
